TRADEDATE,CLOSE,VALUE,VOLUME
2014-10-06,76.33,9485664906.9,125594530.0
2014-10-07,75.32,7353823645.6,97153580.0
2014-10-08,73.8,9823200108.0,132003430.0
2014-10-09,73.65,10790147160.4,144528280.0
2014-10-10,73.5,10334279936.8,141617220.0
2014-10-13,74.26,8700342715.7,116922770.0
2014-10-14,74.55,7128513782.7,95473820.0
2014-10-15,73.08,8865781517.8,120577500.0
2014-10-16,71.12,14162680267.6,195738120.0
2014-10-17,73.15,10590495491.3,146039730.0
2014-10-20,72.25,8881557582.1,122048450.0
2014-10-21,72.5,8448389158.6,116676840.0
2014-10-22,71.82,7122868294.3,98536180.0
2014-10-23,71.59,9462546234.6,132619500.0
2014-10-24,72.49,5450085857.4,76065860.0
2014-10-27,72.9,8754745253.3,119696300.0
2014-10-28,73.9,7463421519.8,101388880.0
2014-10-29,74.05,7438238512.1,100125200.0
2014-10-30,74.98,13453034887.8,180995180.0
2014-10-31,76.23,11759995500.7,154675720.0
2014-11-03,76.29,3803202502.7,49892210.0
2014-11-05,75.65,7625975611.1,101085650.0
2014-11-06,75.05,8343805220.4,109722350.0
2014-11-07,75.69,14790665046.6,195083240.0
2014-11-10,77.78,9681955158.5,125636500.0
2014-11-11,77.34,10202557176.4,130820430.0
2014-11-12,76.32,8738507254.5,113847180.0
2014-11-13,74.03,11286173621.4,150544890.0
2014-11-14,74.15,7512929431.5,101827010.0
2014-11-17,73.97,5763830832.1,77982280.0
2014-11-18,75.21,9033452366.9,121080470.0
2014-11-19,73.9,6660852593.4,89158940.0
2014-11-20,73.63,7700368683.1,104580980.0
2014-11-21,74.39,7816148671.7,105852740.0
2014-11-24,74.4,6389705275.5,85541840.0
2014-11-25,74.11,4433101334.2,59713060.0
2014-11-26,73.85,6760449142.3,91757390.0
2014-11-27,73.04,6463472882.3,87730700.0
2014-11-28,72.25,9244941546.6,128193600.0
2014-12-01,73.79,10201451741.1,139383260.0
2014-12-02,71.64,9747764666.6,133472040.0
2014-12-03,72.0,8322053520.0,115782340.0
2014-12-04,71.04,11776978748.0,162018990.0
2014-12-05,68.6,11210906896.8,160171610.0
2014-12-08,65.3,11218032583.7,167156200.0
2014-12-09,66.26,12883264678.1,198020150.0
2014-12-10,67.77,12140409043.8,180002300.0
2014-12-11,65.95,12134740057.5,182009630.0
2014-12-12,64.2,10234051733.4,157344230.0
2014-12-15,60.13,14113009196.4,224047750.0
2014-12-16,53.5,25448070650.6,470750510.0
2014-12-17,59.9,24945637858.8,446526580.0
2014-12-18,62.91,20215423040.7,317744140.0
2014-12-19,61.44,10480844257.1,171795280.0
2014-12-22,58.6,13954392663.2,228645560.0
2014-12-23,54.0,13019787626.3,230869270.0
2014-12-24,55.0,9006096055.4,166419660.0
2014-12-25,58.7,6598735994.3,116646610.0
2014-12-26,57.13,7806991890.2,134648850.0
2014-12-29,54.51,6329889661.8,113669200.0
2014-12-30,54.9,6492408490.0,120437150.0
2015-01-05,56.37,3528066684.6,63231040.0
2015-01-06,58.28,4039309039.0,70269700.0
2015-01-08,65.7,11928949418.6,187598890.0
2015-01-09,63.1,6875919602.0,107559890.0
2015-01-12,62.9,6252325925.8,99435900.0
2015-01-13,60.31,11605737117.7,190655450.0
2015-01-14,60.05,8109389484.4,134066670.0
2015-01-15,61.8,11116803588.2,180005110.0
2015-01-16,61.99,8789135013.7,143117080.0
2015-01-19,61.8,7849098982.7,124918310.0
2015-01-20,60.8,7359944280.0,120109490.0
2015-01-21,62.8,6607688949.9,106804150.0
2015-01-22,64.35,11052416507.5,173344710.0
2015-01-23,64.45,10707837068.6,163436260.0
2015-01-26,60.49,9460544664.5,154035210.0
2015-01-27,61.2,11362083974.5,188572120.0
2015-01-28,60.63,8563690146.3,139314670.0
2015-01-29,60.5,9118121323.2,150527510.0
2015-01-30,61.5,11811926822.0,194980610.0
2015-02-02,61.4,11971398640.4,195554010.0
2015-02-03,62.0,8724095416.0,140880980.0
2015-02-04,61.04,5140938108.9,83495280.0
2015-02-05,62.41,10646794084.8,173331680.0
2015-02-06,64.31,11493624557.0,180698040.0
2015-02-09,65.57,14757463788.4,224135470.0
2015-02-10,65.0,7942469037.7,121431950.0
2015-02-11,65.12,9373707905.4,142445360.0
2015-02-12,67.21,27193992307.7,403090230.0
2015-02-13,70.6,26141723325.5,375773430.0
2015-02-16,70.0,9230110058.8,131054210.0
2015-02-17,72.45,17549708874.3,243539660.0
2015-02-18,76.4,17870680569.6,237863380.0
2015-02-19,73.78,17678036332.8,238749450.0
2015-02-20,74.75,13211569519.1,177829380.0
2015-02-24,73.7,8559427368.2,117265120.0
2015-02-25,74.2,9037614092.8,122714250.0
2015-02-26,75.95,10888676558.6,143958950.0
2015-02-27,75.91,9879008752.9,129979040.0
2015-03-02,76.2,8504254242.3,110696420.0
2015-03-03,75.55,9856981237.2,129705180.0
2015-03-04,72.31,8753923797.8,117798050.0
2015-03-05,72.7,12837220780.4,175857900.0
2015-03-06,73.25,7709717540.5,105050160.0
2015-03-10,69.8,10576419799.7,149557550.0
2015-03-11,70.68,10529138063.7,149717760.0
2015-03-12,70.79,5865438400.6,82959400.0
2015-03-13,67.87,10497011469.8,151669320.0
2015-03-16,65.57,10394053064.5,156289080.0
2015-03-17,64.65,11909026946.1,183457200.0
2015-03-18,65.26,7071390466.0,108223320.0
2015-03-19,64.9,8180816209.3,124342050.0
2015-03-20,67.0,9769549263.8,147872150.0
2015-03-23,65.0,8686117775.5,131474510.0
2015-03-24,65.6,7961369580.2,121944620.0
2015-03-25,64.8,6367760928.0,97814600.0
2015-03-26,62.85,9492165288.1,148212490.0
2015-03-27,61.0,9769443845.8,157726010.0
2015-03-30,63.01,7561345446.3,121585170.0
2015-03-31,62.88,7109578273.7,113703370.0
2015-04-01,64.5,10287783241.6,161132260.0
2015-04-02,65.92,9015854137.5,138482010.0
2015-04-03,65.5,5628272228.4,85588420.0
2015-04-06,68.99,9189715221.3,137120690.0
2015-04-07,69.6,15558188707.2,224738420.0
2015-04-08,69.4,8607751973.0,124300110.0
2015-04-09,72.0,13305492636.9,187982850.0
2015-04-10,71.5,10257743884.2,143967740.0
2015-04-13,74.1,12118520801.3,165129570.0
2015-04-14,74.05,10002445261.0,135451730.0
2015-04-15,76.49,11553766254.9,153846180.0
2015-04-16,76.5,13500567052.1,176773010.0
2015-04-17,72.5,11754378578.0,157337590.0
2015-04-20,73.5,11465881118.1,157896000.0
